"species","feature","prop_mpa","prop_mpa_strict"
"Perch","Source connectivity",30.3008,0.3293
"Common bream","Source connectivity",37.6878,0.3683
"Common minnow","Source connectivity",48.7014,14.0451
"Pike","Source connectivity",25.5444,0.4763
"Ruffe","Source connectivity",21.5412,1.2832
"Zander","Source connectivity",62.579,0.1477
"Ide","Source connectivity",12.5052,0.5369
"Common bleak","Source connectivity",55.4258,0.1804
"Roach","Source connectivity",50.6446,0.115
"Crucian carp","Source connectivity",35.3154,0.0856
"Common rudd","Source connectivity",7.4283,0.0137
"Two-spotted goby","Source connectivity",34.4009,3.8853
"Nine-spined stickleback","Source connectivity",39.7159,2.5504
"Sand goby","Source connectivity",21.0604,3.2767
"Tench","Source connectivity",11.1259,1.266
"Black goby","Source connectivity",33.2714,5.0757
"Perch","Vulnerability",17.8873,0.3431
"Common bream","Vulnerability",23.1783,0.2577
"Common minnow","Vulnerability",32.3192,11.9286
"Pike","Vulnerability",21.7463,0.3254
"Ruffe","Vulnerability",14.6893,0.8546
"Zander","Vulnerability",47.3642,0.1396
"Ide","Vulnerability",9.2938,0.5793
"Common bleak","Vulnerability",37.4907,0.1707
"Roach","Vulnerability",31.5829,0.0797
"Crucian carp","Vulnerability",11.4651,0.1392
"Common rudd","Vulnerability",6.4246,0.0107
"Two-spotted goby","Vulnerability",27.6362,2.5067
"Nine-spined stickleback","Vulnerability",29.7646,0.772
"Sand goby","Vulnerability",20.6387,0.9397
"Tench","Vulnerability",7.6994,1.015
"Black goby","Vulnerability",22.6801,3.191
"Perch","Habitat",14.1051,0.6823
"Common bream","Habitat",16.0888,0.3906
"Common minnow","Habitat",34.6726,7.0365
"Pike","Habitat",17.3736,1.1589
"Ruffe","Habitat",17.141,1.9237
"Zander","Habitat",15.8852,0.2301
"Ide","Habitat",15.8123,2.0661
"Common bleak","Habitat",14.6147,0.6639
"Roach","Habitat",12.6525,0.3686
"Crucian carp","Habitat",9.6497,0.2827
"Common rudd","Habitat",13.4752,0.9625
"Two-spotted goby","Habitat",31.5282,3.5104
"Nine-spined stickleback","Habitat",28.3277,2.3469
"Sand goby","Habitat",23.1197,3.0133
"Tench","Habitat",9.2857,0.6176
"Black goby","Habitat",25.6392,2.783
