"species","feature","total_amount","absolute_held","relative_held"
"Perch","Source connectivity",2204.87257153706,2169.66327724132,0.984031143227837
"Common bream","Source connectivity",1441.06347801545,1440.77320153865,0.999798567876272
"Common minnow","Source connectivity",917.199482839671,915.934571764751,0.998620898617383
"Pike","Source connectivity",2792.71381678949,2699.12535850252,0.966488346308768
"Ruffe","Source connectivity",5149.20849979776,3864.42093664424,0.750488339478975
"Zander","Source connectivity",925.743800745687,925.701533115948,0.999954341979169
"Ide","Source connectivity",1289.27789770602,1261.41230527964,0.978386667082436
"Common bleak","Source connectivity",1010.50981103486,1010.3043173973,0.999796643599779
"Roach","Source connectivity",1114.02473818661,1098.89817365158,0.986421697816465
"Crucian carp","Source connectivity",392.156303090255,392.126386995851,0.9999237138504
"Common rudd","Source connectivity",339.131714074976,339.131714074976,1
"Two-spotted goby","Source connectivity",3758.15989794148,3400.42184839198,0.904810316946479
"Nine-spined stickleback","Source connectivity",1971.11852387583,1953.78111590583,0.991204279316541
"Sand goby","Source connectivity",8638.78439453527,6706.04795652005,0.776272175604032
"Tench","Source connectivity",1255.31955716842,1255.1896269281,0.999896496282898
"Black goby","Source connectivity",4853.9902124624,4434.69055447511,0.913617531219828
"Perch","Vulnerability",2947.9415795834,2885.22600819964,0.978725639674101
"Common bream","Vulnerability",1384.54039145977,1384.33635459908,0.999852632063359
"Common minnow","Vulnerability",510.504771250904,509.611935326509,0.998251072321601
"Pike","Vulnerability",1789.5106467275,1745.06447783263,0.975162948051664
"Ruffe","Vulnerability",4176.1281691249,3181.59974390951,0.761853950611915
"Zander","Vulnerability",781.802017639107,781.719782796658,0.999894813724456
"Ide","Vulnerability",1433.63958334648,1395.51615279069,0.97340793948588
"Common bleak","Vulnerability",1037.60331632397,1037.12413399028,0.999538183498314
"Roach","Vulnerability",1252.52619074373,1224.12550278516,0.977325274179133
"Crucian carp","Vulnerability",566.616271507114,566.583196877009,0.999941627814505
"Common rudd","Vulnerability",283.432119201594,283.432119201594,1
"Two-spotted goby","Vulnerability",3603.19939008098,3322.90190842112,0.922208723050001
"Nine-spined stickleback","Vulnerability",1225.03227597024,1207.73046088105,0.985876441438672
"Sand goby","Vulnerability",8242.2502849211,7046.88264638864,0.854970718285595
"Tench","Vulnerability",2282.71963187131,2282.37027721803,0.999846956827989
"Black goby","Vulnerability",5645.60412962943,5310.41469177919,0.940628242761285
"Perch","Habitat",248420,224310,0.902946622655181
"Common bream","Habitat",104980,104630,0.996666031625071
"Common minnow","Habitat",48035,46045,0.958571874674716
"Pike","Habitat",211845,187730,0.886166772876395
"Ruffe","Habitat",362055,263590,0.728038557677701
"Zander","Habitat",69530,68990,0.992233568243924
"Ide","Habitat",83005,70695,0.851695680983073
"Common bleak","Habitat",118990,117145,0.984494495335743
"Roach","Habitat",161430,149295,0.924828098866382
"Crucian carp","Habitat",40675,40625,0.998770743700061
"Common rudd","Habitat",19740,19740,1
"Two-spotted goby","Habitat",298400,236410,0.792258713136729
"Nine-spined stickleback","Habitat",145935,134185,0.919484702093398
"Sand goby","Habitat",468085,356720,0.762083809564502
"Tench","Habitat",91485,91120,0.996010274908455
"Black goby","Habitat",280450,240960,0.859190586557319
